posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,lat,long
2020-02-23 14:40, (Shadyside / S. Aiken Ave @ Centre Ave),40.455764;-79.938251,★Available NOW--Near Shopping--AC--Heat Included!--Pet Friendly★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-near-shopping/7080962658.html,1260,40.455764,-79.938251
2020-02-23 16:15, (Shadyside / S. Aiken Ave @ Centre Ave),40.455617;-79.938111,★ALL Utilities Included!--Pet Friendly--AC--HW Floors--Avail August 1★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included-pet/7080961846.html,1365,40.455617,-79.93811099999999
2020-02-23 15:32, (Shadyside / S. Aiken Ave @ Centre Ave),40.455462;-79.938090,★Available August 1--Shopping Nearby--AC--ALL Utils Incld!--HW Floors★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-august-1-shopping/7080961107.html,1260,40.455462,-79.93809
2020-02-23 14:15, (Shadyside / S. Aiken Ave @ Centre Ave),40.455470;-79.938101,★Available NOW--All Utilities Included!--AC--HW Floors--Pet Friendly★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-all-utilities/7075366496.html,1260,40.45547,-79.938101
2020-02-23 14:16, (Shadyside / S. Aiken Ave @ Centre Ave),40.455740;-79.938186,★ALL Utils Incld--Available August 1--Near Shopping--AC--Pet Friendly★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utils-incld-available/7073480926.html,1260,40.455740000000006,-79.938186
2020-02-23 14:16, (Shadyside / Shady Ave @ Ellsworth Ave),40.458850;-79.922372,★Available NOW--Near Shopping--AC--Heat Included!--Pet Friendly★,1,485.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-near-shopping/7069607207.html,860,40.45885,-79.922372
2020-02-23 19:30," (Creighton, PA)",40.582100;-79.781800,3BR 2BA House for Rent - 900/Month + Utilities,3,,https://pittsburgh.craigslist.org/apa/d/creighton-3br-2ba-house-for-rent-month/7081144042.html,900,40.5821,-79.7818
2020-02-23 19:20, (North Myrtle Beach),33.803767;-78.707650,Weekly-Rentals---Beach-Condo---,3,1353.0,https://pittsburgh.craigslist.org/vac/d/north-myrtle-beach-weekly-rentals-beach/7070953398.html,0,33.803767,-78.70765
2020-02-23 19:15," (Monroeville, PA)",40.429000;-79.762300,"1451 James St, Freshly 4 Beds 2 Baths For Rent To Own.",4,,https://pittsburgh.craigslist.org/apa/d/monroeville-1451-james-st-freshly-4/7081110063.html,930,40.429,-79.7623
2020-02-23 19:14, (Highland Park),40.475599;-79.923456,"Nice Highland Park 1 Br apt near park, shops, bus.",1,,https://pittsburgh.craigslist.org/apa/d/nice-highland-park-1-br-apt-near-park/7079972220.html,720,40.475599,-79.923456
