,posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,lat,long,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,Coordinates,nearest_shuttle_stop,nearest_restaurants
57,2020-02-23 14:15, (Shadyside / S. Aiken Ave @ Centre Ave),40.455470;-79.938101,★Available NOW--All Utilities Included!--AC--HW Floors--Pet Friendly★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-all-utilities/7075366496.html,1260,40.45547,-79.938101,2167.0,1268.0,82.0,6409.0,1370.0,82.0,POINT (191723926.6749974 -19903925.79845628),"('Centre Avenue at South Aiken Avenue', 'A', 1.9587869685156705)","[('Selamis Turkish Kebab House', 6.502237966253279, 4.5), ('BFG Café', 6.573698375170169, 4.0), ('Nak Won Garden', 6.9130314873021295, 3.5), ('Spork Pit', 8.74134868934774, 3.5), ('Friendship Perk and Brew', 10.817942004828751, 4.5)]"
59,2020-02-23 14:16, (Shadyside / S. Aiken Ave @ Centre Ave),40.455740;-79.938186,★ALL Utils Incld--Available August 1--Near Shopping--AC--Pet Friendly★,1,720.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utils-incld-available/7073480926.html,1260,40.455740000000006,-79.938186,2138.0,1248.0,53.0,6380.0,1350.0,53.0,POINT (191725109.0860356 -19903592.88675795),"('Centre Avenue at South Aiken Avenue', 'A', 1.615780750350426)","[('BFG Café', 6.512806724434608, 4.0), ('Selamis Turkish Kebab House', 6.8038383388575845, 4.5), ('Nak Won Garden', 7.222341848128505, 3.5), ('Spork Pit', 8.84202000744268, 3.5), ('Friendship Perk and Brew', 10.445009040061697, 4.5)]"
61,2020-02-23 14:16, (Shadyside / Shady Ave @ Ellsworth Ave),40.458850;-79.922372,★Available NOW--Near Shopping--AC--Heat Included!--Pet Friendly★,1,485.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-available-now-near-shopping/7069607207.html,860,40.45885,-79.922372,3515.0,1202.0,123.0,8624.0,1690.0,222.0,POINT (191532486.0843212 -19850977.80488496),"('Shady Avenue at Alder Street', 'AB', 1.4428422188924381)","[('Choolaah', 4.290619474516975, 4.5), ('Two Sisters', 6.683789943699345, 4.5), ('Mola', 7.240367190654404, 4.0), ('Paris 66', 7.32993782996782, 3.5), (""Kelly's Bar & Lounge"", 8.160298585471317, 3.5)]"
72,2020-02-23 19:08, (Regent Square - East Busway - Frick Park),40.443959;-79.892492,"All Utilities Included, Pet Friendly, Classic One Bedroom, Aug 1st",1,695.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included-pet/7070177509.html,923,40.443959,-79.892492,5317.0,1076.0,317.0,11176.0,2165.0,317.0,POINT (191159359.4687173 -19796414.06930122),"('Bakery Square (Google)', 'BS', 87.16445472052082)","[('The Dream BBQ', 7.908305842915608, 4.5), ('Square Cafe', 8.485781408456845, 4.0), ('El Burro', 8.836002616961721, 3.5), ('Istanbul Grille', 8.943116669753696, 4.5), ('Thai Cottage', 8.984424548935971, 4.0)]"
74,2020-02-23 17:24, (Regent Square - Frick Park),40.443942;-79.892449,"All Utilities Included, Dog Friendly, Yard, Classic Charm, Aug 1st",1,680.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-all-utilities-included-dog/7067953240.html,880,40.443942,-79.892449,5316.0,1075.0,316.0,11175.0,2164.0,316.0,POINT (191158826.0482092 -19796326.27082124),"('Bakery Square (Google)', 'BS', 87.32918054160476)","[('The Dream BBQ', 7.8134103237823425, 4.5), ('Square Cafe', 8.534103919578117, 4.0), ('El Burro', 8.909882710377119, 3.5), ('Istanbul Grille', 9.024573762680808, 4.5), ('Thai Cottage', 9.062342558416365, 4.0)]"
81,2020-02-23 19:00, (Regent Square - Frick Park),40.442293;-79.889960,"One Bedroom, Nice Neighborhood, Near Parks & Shops, Aug 1",1,620.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-one-bedroom-nice/7066432327.html,744,40.442293,-79.88996,5401.0,1029.0,268.0,11261.0,2118.0,268.0,POINT (191127618.8397958 -19792669.65289476),"('Bakery Square (Google)', 'BS', 96.90406992242559)","[('The Dream BBQ', 8.570046969685722, 4.5), (""Applebee's Grill + Bar"", 11.451159830279499, 3.0), ('Rudy Martino Original House of Submarines', 14.145211755832133, 4.5), ('Square Cafe', 14.374813149344604, 4.0), (""Nancy's Revival"", 14.393164501887645, 4.5)]"
83,2020-02-23 19:00, (Pittsburgh Area),40.474571;-80.066922,Sell Your House Fast – No Commissions – Real Estate Alternative,3,1500.0,https://pittsburgh.craigslist.org/reo/d/pittsburgh-sell-your-house-fast-no/7064222664.html,34900,40.474571000000005,-80.06692199999999,41166.0,4855.0,747.0,8678.0,1872.0,1009.0,POINT (193334544.1814668 -20241224.91738717),"('PTC-Pittsburgh Technology Center', 'PTC', 401.4941015138754)","[('Mia Madre Trattoria', 18.08404902275341, 4.0), ('Pittsburgh Sandwich Society', 26.890214864691004, 4.5), (""Sarafino's Pasta and Pizza"", 27.012503569634845, 4.0), ('Pierogies Plus', 27.594834988712854, 4.5), ('The Original BSB’s - Avalon', 28.27525176240033, 4.5)]"
172,2020-02-23 18:52, (Robinson Township),40.440742;-80.138268,"2 Bedroom, 2 Bath, Well Maintained Condo",2,1026.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-2-bedroom-2-bath-well/7081125922.html,1200,40.440742,-80.13826800000001,31800.0,4552.0,1846.0,25061.0,3716.0,1846.0,POINT (194218524.5012711 -20527899.88297492),"('PTC-Pittsburgh Technology Center', 'PTC', 682.8264622519827)","[('Primanti Bros', 151.71910990441773, 3.5), (""Sunny Jim's Tavern"", 183.7873721088377, 3.5), ('Wild Rosemary', 186.4855771740394, 4.0), ('Sapporo Japanese Steakhouse', 187.76579683031716, 4.0), ('Leogreta', 188.22769822419295, 4.0)]"
204,2020-02-23 18:50, (FORWARD TOWNSHIP),40.201677;-79.915366,2 BEDROOM HOUSE,2,1100.0,https://pittsburgh.craigslist.org/apa/d/monongahela-2-bedroom-house/7081125379.html,650,40.201677000000004,-79.915366,38140.0,6778.0,2394.0,33110.0,5941.0,2394.0,POINT (191315299.4731757 -20382258.19564195),"('Beacon Street at Shady Avenue', 'BS', 157.5774293235209)","[('Porked', 113.5901990754442, 5.0), ('LongHorn Steakhouse', 136.72204660619144, 3.0), ('Eighth & Hays', 137.0834773191394, 4.5), (""Duke's Upper Deck Cafe"", 137.24245249312708, 4.0), ('BRAVO! Cucina Italiana', 138.00503719700808, 3.5)]"
213,2020-02-23 18:39," (highland Park, 15206)",40.472300;-79.913200,Stunning One- Bedroom--Prime Location!!!,1,900.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-stunning-one-bedroom-prime/7079483560.html,1000,40.4723,-79.9132,5096.0,1569.0,632.0,10597.0,2424.0,632.0,POINT (191426900.8025528 -19795537.08837642),"('Bakery Square (Google)', 'BS', 13.226579172238615)","[('Caribbean Vybz', 8.303910389997696, 5.0), ('Mama Rose', 9.84581900670479, 4.5), ('Larder of East End', 10.271161615173982, 4.5), ('Point Brugge Café', 15.170235541730863, 4.5), (""Cc's Cafe"", 15.253125434500154, 3.5)]"
