,posted,neighborhood,location,post title,number bedrooms,sqft,URL,price,lat,long,distance_to_CMU,duration_CMU,bus_distance_CMU,distance_to_downtown,duration_downtown,bus_distance_downtown,Coordinates,nearest_shuttle_stop,nearest_restaurants
311,2020-02-23 18:03, (Pittsburgh),40.383880;-79.990840,Rent to Own on the Edge Of Brentwood. Minutes from the City!!,2,828.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-rent-to-own-on-the-edge-of/7063894989.html,795,40.38388,-79.99084,13472.0,3314.0,509.0,8123.0,1633.0,509.0,POINT (192338635.7748377 -20212331.66333153),"('PTC-Pittsburgh Technology Center', 'PTC', 108.19412453970966)","[('Nepali Asian Restaurant', 15.192411793368306, 5.0), ('Union Pie Co', 15.73821570232849, 4.5), ('Vocelli Pizza', 18.05724610649928, 4.5), ('Maietta Restaurant', 26.283861943353735, 3.5), (""Leon's Caribbean Restaurant"", 26.845999575612613, 4.5)]"
348,2020-02-23 17:51, (Oakland),40.437495;-79.952523,One Bedroom Available 08/01,1,415.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-one-bedroom-available-08-01/7078610528.html,845,40.437495,-79.952523,2144.0,801.0,668.0,5112.0,1486.0,788.0,POINT (191892320.2529563 -19984583.14872351),"('Bigelow Blvd. at Forbess Avenue', 'BS', 6.108254357609334)","[(""Frenchi's Deli & Market"", 0.46517357440177537, 4.5), ('Beta Bites', 3.2853440241851652, 4.0), ('Mesa', 3.684096857238361, 4.0), ('Asia Tea House', 3.6966896546603243, 3.0), ('The Porch at Schenley', 4.305648126444156, 3.5)]"
351,2020-02-23 17:45, (Regent Square - East Busway - Frick Park),40.439696;-79.888737,"Superb Apartment Walk to Regent Square Shops, Free Parking, Aug 1",1,630.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-superb-apartment-walk-to/7078280759.html,744,40.439696000000005,-79.888737,5479.0,1063.0,187.0,13126.0,1846.0,601.0,POINT (191111383.4334455 -19794700.38440647),"('Bakery Square (Google)', 'BS', 101.73023600186153)","[(""Applebee's Grill + Bar"", 8.996767373528302, 3.0), (""Nancy's Revival"", 9.856172955505503, 4.5), ('Soul Food Connection', 12.419677019787743, 4.5), ('GoodFellas Restaurant & Tavern', 12.739688675817249, 4.5), ('The Dream BBQ', 12.912928793530954, 4.5)]"
353,2020-02-23 18:36, (Regent Square - Near Frick Park & Shops),40.439549;-79.888780,"Tree Lined Street, Bright and Comfortable One Bedroom, Aug 1st",1,631.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-tree-lined-street-bright-and/7067728181.html,762,40.439549,-79.88878000000001,5522.0,1100.0,230.0,13075.0,1812.0,550.0,POINT (191111833.3734936 -19795139.39420281),"('Bakery Square (Google)', 'BS', 101.57765652162509)","[(""Applebee's Grill + Bar"", 8.888145562013545, 3.0), (""Nancy's Revival"", 10.03476754890099, 4.5), ('Soul Food Connection', 12.597627450562483, 4.5), ('GoodFellas Restaurant & Tavern', 12.721486955573658, 4.5), ('The Dream BBQ', 12.864226012740403, 4.5)]"
355,2020-02-23 17:42," (Ocean City, MD - 12th & Boardwalk)",38.341999;-75.079440,Enjoy the View - Direct Ocean Front on OC Boardwalk!,1,550.0,https://pittsburgh.craigslist.org/vac/d/ocean-city-enjoy-the-view-direct-ocean/7073893493.html,0,38.341999,-75.07944,844535.0,66302.0,362.0,839672.0,64749.0,362.0,POINT (147767121.7893574 -13211812.15717206),"('Bakery Square (Google)', 'BS', 13464.522063478484)","[('Cousins Maine Lobster - Pittsburgh', 12969.090128274316, 4.0), (""hanadi's"", 13209.358750618045, 5.0), ('Roman Bistro', 13215.66412522183, 3.5), ('Superior Motors', 13253.11951796781, 4.0), ('Starlite Lounge', 13257.755081104828, 3.5)]"
361,2020-02-23 17:36, (Spring Hill City View / Northside),40.462234;-79.994061,"Updated 3 Bed, 1 Bath - Close to Everything with Million Dollar Views",3,1100.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-updated-3-bed-1-bath-close/7064351943.html,1250,40.462234,-79.994061,9641.0,2991.0,1010.0,3903.0,1873.0,1561.0,POINT (192418621.4754524 -20052858.11142398),"('PTC-Pittsburgh Technology Center', 'PTC', 117.3126438150098)","[('Kaffeehaus', 5.70069877149408, 4.5), ('Penn Brewery', 10.525641653417614, 3.5), ('Eleven', 11.396063942560186, 4.0), ('Riviera Pizza & Pasta', 11.598200040426233, 3.5), ('CobblerWorld', 11.797337503958898, 5.0)]"
386,2020-02-23 17:15, (Pittsburgh),40.459800;-79.822400,"✪Beautiful (2) bedroom, (1) bathroom condo home.COMPLETELY UPDATED✪",2,1350.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-beautiful-2-bedroom-1/7081029561.html,650,40.4598,-79.8224,14173.0,3606.0,832.0,19589.0,4073.0,832.0,POINT (190316742.0363527 -19561293.84888916),"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]"
394,2020-02-23 17:15, (Regent Square - Frick Park),40.442718;-79.892814,"Nice One Bedroom, Pet Friendly, Wood Floors, Park Community, Aug 1",1,580.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-nice-one-bedroom-pet/7078214753.html,915,40.442718,-79.892814,5184.0,978.0,184.0,11043.0,2067.0,184.0,POINT (191162660.1709209 -19800002.95221852),"('Bakery Square (Google)', 'BS', 86.02184396017951)","[('Square Cafe', 7.325626617062808, 4.0), ('El Burro', 7.525664500350148, 3.5), ('Istanbul Grille', 7.594713959691456, 4.5), ('Thai Cottage', 7.653037054189898, 4.0), (""D's Six Pax & Dogz"", 7.802590631543334, 4.0)]"
402,2020-02-23 17:12," (Pittsburgh, PA)",40.471605;-79.964024,The Foundry at 41st is bravely setting new standards for apartment,2,1233.0,https://pittsburgh.craigslist.org/sub/d/pittsburgh-the-foundry-at-41st-is/7078841597.html,1500,40.471605,-79.964024,6636.0,2096.0,506.0,5456.0,1219.0,337.0,POINT (192051565.0302324 -19944760.02371744),"('PTC-Pittsburgh Technology Center', 'PTC', 26.31024857691953)","[('Coca Cafe', 3.042068083772523, 3.0), ('Franktuary', 3.0727001064557697, 3.5), ('Umami', 3.408119089697741, 4.5), ('Piccolo Forno', 3.4428643338073144, 4.0), ('Pastitsio', 3.469334227567151, 4.0)]"
404,2020-02-23 17:08, (Pittsburgh),40.459800;-79.822400,!!*-*-* THREE BEDROOM TWO BATH HOUSE*-*-*!!,2,990.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-three-bedroom-two-bath-house/7081029565.html,740,40.4598,-79.8224,14173.0,3606.0,832.0,19589.0,4073.0,832.0,POINT (190316742.0363527 -19561293.84888916),"('Bakery Square (Google)', 'BS', 353.22261083656593)","[(""hanadi's"", 103.08950414239688, 5.0), ('Roman Bistro', 108.9273284881028, 3.5), ('Starlite Lounge', 145.41886133865574, 3.5), ('Maenam Thai Restaurant', 149.43206903233664, 5.0), ('Superior Motors', 150.1438383751904, 4.0)]"
414,2020-02-23 16:59, (15210),40.406000;-79.984000,Discounted Fixer Upper (12 Mins from Downtown),3,2369.0,https://pittsburgh.craigslist.org/reo/d/pittsburgh-discounted-fixer-upper-12/7081063751.html,35750,40.406,-79.984,8905.0,2392.0,837.0,7296.0,2091.0,837.0,POINT (192265175.3709306 -20144542.44143416),"('PTC-Pittsburgh Technology Center', 'PTC', 78.59896743283566)","[('Maietta Restaurant', 13.15421263816498, 3.5), ('Union Pie Co', 14.731329891082156, 4.5), (""Big Shot Bob's House of Wings - South Side"", 15.307503190774394, 4.0), (""Sal's New York Pizzeria"", 15.343764048102958, 3.5), (""O'Leary's"", 15.370237475335568, 4.0)]"
433,2020-02-23 16:48, (Regent Square - East Busway - Frick Park),40.443273;-79.890196,"Complete Townhouse for Rent in Regent Square, Pet Friendly, Aug 1st",2,1207.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-complete-townhouse-for-rent/7062459924.html,939,40.443273,-79.890196,5435.0,1062.0,302.0,11295.0,2151.0,302.0,POINT (191130994.8960384 -19791252.04231961),"('Bakery Square (Google)', 'BS', 95.9452226069573)","[('The Dream BBQ', 7.540117698058717, 4.5), (""Applebee's Grill + Bar"", 12.399432176605202, 3.0), ('Square Cafe', 13.930211204432563, 4.0), ('Rudy Martino Original House of Submarines', 14.763255522117417, 4.5), ('El Burro', 15.037002725297526, 3.5)]"
437,2020-02-23 16:39, (Regent Square - Frick Park),40.442603;-79.892793,"Stylish Townhouse, Yard, Wood Floor, Pet Friendly, Aug 1",2,936.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-stylish-townhouse-yard-wood/7067083519.html,994,40.442603000000005,-79.89279300000001,5171.0,969.0,171.0,11030.0,2058.0,171.0,POINT (191162345.5415688 -19800188.65124663),"('Bakery Square (Google)', 'BS', 86.10976748595704)","[('Square Cafe', 7.270370902211127, 4.0), ('El Burro', 7.490774109792377, 3.5), ('Istanbul Grille', 7.566520075397631, 4.5), ('Thai Cottage', 7.621780570276901, 4.0), (""D's Six Pax & Dogz"", 7.765160556531871, 4.0)]"
443,2020-02-23 16:09, (347 S. Fairmount St(Friendship/Shadyside)),40.460429;-79.934742,"AUGUST, ALL UTILS INCLUDED,Top Converted Victorian House Charm!",1,590.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-august-all-utils-includedtop/7073611063.html,1079,40.460429,-79.934742,3550.0,1656.0,929.0,8282.0,1897.0,257.0,POINT (191685155.3302585 -19883504.85889426),"('Centre Avenue at South Negley Avenue', 'A', 2.3559410171535635)","[('Spork', 3.64331801237468, 4.0), ('Szechuan Spice', 5.444013565721513, 4.0), ('I Tea Cafe', 5.896430978776132, 3.0), ('Girasole Restaurant', 6.220781546564971, 4.0), ('Fig & Waffle Cafe Bistro', 6.284623420840712, 3.5)]"
445,2020-02-23 16:08, (5703 Hobart Street(SQUIRREL HILL) Just off Murray),40.433287;-79.925055,"AUGUST,Convenient to CMU, RECENT Renovation, AC, Granite Kitchen",1,650.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-augustconvenient-to-cmu/7065777209.html,1189,40.433287,-79.925055,2976.0,766.0,328.0,8836.0,1855.0,328.0,POINT (191552410.9908078 -19913642.07709872),"('Beacon Street at Murray Avenue', 'BS', 7.268801027538952)","[('Chef Rabbi', 6.334365927736299, 5.0), ('New Dumpling And Sushi House', 6.490700775323696, 3.5), ('Tan Lac Vien', 6.935999708565228, 4.0), (""Aiello's Pizza"", 6.974196187536605, 4.0), ('Frankie Bunz', 7.122043833458553, 4.0)]"
447,2020-02-23 16:08, (732 & 734 S. Millvale Avenue @ Baum Blvd (NORTH OAKLAND)),40.455160;-79.947712,"AUGUST,Less than 1 mile Pitt/CMU,Hardwood Lam,New Kitchen",3,990.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-augustless-than-1-mile-pitt/7073405540.html,1699,40.45516,-79.947712,1482.0,1182.0,1482.0,5751.0,1313.0,228.0,POINT (191842039.136457 -19932570.0238902),"('Centre Avenue at Devonshire Street', 'AB', 4.32477170683447)","[('Emiliano’s Mexican Restaurant & Bar', 1.7308457340587342, 3.5), (""Khalil's II"", 2.990185309375872, 4.5), ('Pad Thai Noodle', 3.7764407063430867, 4.5), (""Angelo's Pizzeria"", 3.8198189829652875, 4.0), (""Lombardozzi's Restaurant"", 3.8372583337998587, 3.0)]"
449,2020-02-23 16:08, (5634 Stanton Avenue(East Liberty/Highland Park)),40.471235;-79.925173,"AUGUST,Recent Renovation,AC, Dishwasher,Easy Access Oakland on Bus",2,855.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-augustrecent-renovationac/7067071905.html,1249,40.471235,-79.925173,6129.0,1602.0,38.0,9455.0,2031.0,116.0,POINT (191573134.3255067 -19832514.62928797),"('Centre Avenue at Annie Place', 'B', 8.689111479880298)","[(""Wallace's Whiskey Room + Kitchen"", 6.18566326078187, 3.0), ('honeygrow', 7.003481415807054, 4.0), ('Two Sisters', 7.284463786704802, 4.5), ('Pizza Taglio', 7.380183165348774, 4.5), ('Bird On The Run', 7.4180432322174825, 4.5)]"
451,2020-02-23 16:08, (325 Spahr St(Shadyside)),40.457056;-79.927771,"AUGUST,4br/2Bath,Just off Walnut/Ellsworth, Rents Fast!",4,1600.0,https://pittsburgh.craigslist.org/apa/d/pittsburgh-august4br-2bathjust-off/7072532017.html,2340,40.457056,-79.92777099999999,3016.0,1135.0,225.0,8643.0,1970.0,665.0,POINT (191597820.9960693 -19870498.37961891),"('Fifth Avenue at Maryland Avenue', 'AB', 4.450561084225637)","[('Con Alma', 0.7453460976361992, 4.5), ('Cafe Zinho', 0.9964614351274531, 4.0), ('The Twisted Frenchman', 3.669037600323924, 4.5), ('Garbarinos', 3.676299995469455, 4.0), ('Senyai Thai Kitchen', 4.0811406699019335, 4.5)]"
